instance ./inteam 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-1s-2.txt 0.54 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-10-4s-5.txt 1.09 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-10-7.txt 1.95 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-9-3.txt 0.98 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-8-7.txt 0.41 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-7-3.txt 0.16 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-6-1.txt 0.06 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-8-1.txt 0.41 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-5-8.txt 0.03 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-10-9.txt 2.19 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-6-7.txt 0.07 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-7-6.txt 0.16 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-4-10.txt 0.01 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-5-5.txt 0.02 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-5-2.txt 0.02 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-7-4.txt 0.2 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-6-5.txt 0.06 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-9-5.txt 1.03 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-10-2.txt 1.98 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-7-7.txt 0.16 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-8-10.txt 0.39 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-4-9.txt 0.01 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-9-2.txt 1.01 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-8-8.txt 0.47 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-9-9.txt 0.87 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-7-5.txt 0.2 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-10-3.txt 1.99 
